Ecotype_id	DTF1	sd	count	DTF2	sd	count	DTF3	sd	count	RL	sd	count	CL	sd	count
6021	72.25	5.5	4	77	5.033222957	4	87	7.257180352	4	57.5	3.415650255	4	16	1.154700538	4
6023	73.25	6.396613687	4	78	6.377042157	4	89.25	7.889866919	4	60.25	7.5	4	27.75	2.362907813	4
6024	98.5	7.85281266	4	103.75	6.701989754	4	116	12.83225104	4	70	NA	1	25	2.581988897	4
6025	137	NA	1	143	NA	1	NA	NA	0	NA	NA	0	NA	NA	0
6030	116.5	6.363961031	2	124	5.656854249	2	129	7.071067812	2	NA	NA	0	12	NA	1
6034	67	2.828427125	2	72	2.828427125	2	80.5	3.535533906	2	51	0	2	22.5	4.949747468	2
6035	61	2.160246899	4	66.25	2.217355783	4	73.75	3.304037934	4	30.75	7.588368292	4	11.5	1	4
6036	75	7.874007874	4	80.25	7.182153809	4	86.33333333	6.806859286	3	53.66666667	7.505553499	3	12.66666667	1.527525232	3
6038	63	5.597618541	4	68	6.164414003	4	77.25	8.770214745	4	61.25	11.95477589	4	13.5	1.732050808	4
6039	46	NA	1	50	NA	1	62	7.071067812	2	29	NA	1	7	NA	1
6040	70	8.185352772	3	74.66666667	7.094598885	3	82.5	7.778174593	2	58.5	6.363961031	2	18.5	2.121320344	2
6041	39.5	1.290994449	4	46	1.414213562	4	51.5	1.732050808	4	25.5	1	4	8	0	4
6042	32.75	1.707825128	4	39.75	2.753785274	4	43	2.309401077	4	15.5	1	4	4.25	0.957427108	4
6043	117.6666667	7.767453465	3	124	6.244997998	3	130.6666667	6.506407099	3	NA	NA	0	26	NA	1
6046	116	15.13274595	3	121.3333333	15.69500982	3	117	NA	1	NA	NA	0	26	NA	1
6064	124.6666667	15.27525232	3	130	15.39480432	3	129.5	13.43502884	2	NA	NA	0	9	NA	1
6069	129	NA	1	134	NA	1	139	NA	1	NA	NA	0	NA	NA	0
6070	109.3333333	2.516611478	3	114	2.645751311	3	119.3333333	3.214550254	3	NA	NA	0	10.66666667	1.527525232	3
6071	124.25	8.732124598	4	131	8.524474568	4	139.5	3.535533906	2	NA	NA	0	13	NA	1
6073	82.5	5.066228051	4	87.75	5.251983752	4	96.5	3.31662479	4	48	8.640987598	4	17	4.082482905	4
6074	81.25	11.78629147	4	89.33333333	11.15048579	3	85.75	12.91962332	4	52.75	9.394147114	4	7.25	1.707825128	4
6076	101	19.30457631	4	106	19.30457631	4	110.5	19.12241268	4	61	NA	1	7	2.828427125	2
6085	112.5	7.778174593	2	127	NA	1	128	15.55634919	2	NA	NA	0	NA	NA	0
6086	87.75	5.852349955	4	94.25	4.11298756	4	100.75	4.573474245	4	50	8.524474568	4	13.33333333	0.577350269	3
6088	110	NA	1	116	NA	1	128	NA	1	NA	NA	0	NA	NA	0
6090	94.5	7.767453465	4	100	7.348469228	4	105	4.582575695	3	50.66666667	9.018499506	3	17.5	3.535533906	2
6092	82	2.828427125	4	88	3.915780041	4	89.5	4.434711565	4	54.66666667	9.865765725	3	11.25	0.957427108	4
6094	99	5.597618541	4	104.75	4.031128874	4	92.66666667	34.78984526	3	73	NA	1	18	NA	1
6097	83.25	7.675719293	4	89.25	8.460693431	4	94	7.874007874	4	46.25	10.30776406	4	16	5.291502622	3
6098	93.5	8.504900548	4	102.75	6.898067362	4	105	6.480740698	4	78.66666667	7.767453465	3	15.25	3.403429643	4
6099	103	9.660917831	4	109	10.98483804	4	113.6666667	17.0098011	3	53	NA	1	20.33333333	5.686240703	3
6100	86.66666667	11.06044002	3	92	12	3	108.3333333	13.50308607	3	67	NA	1	22	2.828427125	2
6102	107.25	20.32035105	4	104.3333333	17.67295486	3	103.5	19.09188309	2	NA	NA	0	9	NA	1
6104	92.75	9.776672917	4	97.25	10.34005158	4	109.5	10.66145706	4	63.66666667	9.073771726	3	26.66666667	2.081665999	3
6105	79.33333333	6.658328118	3	83.66666667	6.429100507	3	87.66666667	6.350852961	3	75	6.557438524	3	14	3	3
6106	85.75	4.991659711	4	92.25	6.075908711	4	94.75	6.5	4	72	8.185352772	3	12.75	2.061552813	4
6107	97.5	12.50333289	4	102	13.39153962	4	105.25	12.33896268	4	71	22.5166605	3	11.75	2.872281323	4
6108	42.75	4.34932945	4	48.25	4.031128874	4	52.75	4.272001873	4	43.25	12.7377392	4	7.75	2.872281323	4
6109	90	14.10673598	3	95.33333333	14.18919777	3	99	15.71623365	3	80	21.21320344	2	23	4.358898944	3
6111	81.33333333	1.527525232	3	85	1	3	93.66666667	4.041451884	3	61.33333333	0.577350269	3	16.33333333	1.527525232	3
6112	65.5	2.380476143	4	69.75	2.217355783	4	76.75	0.957427108	4	48.5	6.027713773	4	13.5	1.290994449	4
6113	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6114	80	7.118052168	4	86	5.944184833	4	92	7.874007874	4	67	11.16542282	4	15	4	3
6115	65.5	5.744562647	4	70.5	4.509249753	4	74.75	4.924428901	4	48	8.86942313	4	12.66666667	0.577350269	3
6118	90.25	8.261355821	4	94.25	8.057087977	4	99.25	7.544313532	4	74.25	7.274384281	4	19.25	2.62995564	4
6122	80	6.055300708	4	85	6.480740698	4	90	4.966554809	4	73.25	12.01041215	4	19.75	4.991659711	4
6124	90.66666667	2.309401077	3	95	3.464101615	3	106	1	3	56	17.77638883	3	22.5	3.535533906	2
6125	93.25	8.341662504	4	99	11.35781669	3	100	10.48808848	4	65	8.717797887	3	11	2.828427125	4
6126	77.66666667	1.527525232	3	82.33333333	1.154700538	3	89	1.732050808	3	61	14.4222051	3	17.33333333	7.371114796	3
6127	121.3333333	13.20353488	3	126.3333333	13.20353488	3	132.6666667	11.37248141	3	NA	NA	0	20	NA	1
6128	104.6666667	12.09683154	3	109.6666667	12.09683154	3	113	12.489996	3	71	NA	1	12	2.828427125	2
6129	128.75	14.66003638	4	131	15.58845727	3	131	19.79898987	2	NA	NA	0	NA	NA	0
6131	121.3333333	7.094598885	3	130.5	4.949747468	2	137	NA	1	NA	NA	0	NA	NA	0
6132	84.5	1.732050808	4	90.5	5.196152423	4	102.5	3.785938897	4	73	6.633249581	4	27.75	2.753785274	4
6133	81.75	1.892969449	4	87.25	1.5	4	91.75	2.986078811	4	59	3.464101615	3	22.25	2.5	4
6134	87.33333333	5.859465277	3	94.33333333	5.773502692	3	100.3333333	4.932882862	3	62.5	0.707106781	2	16	1.732050808	3
6136	74.75	3.095695937	4	79.25	2.872281323	4	84.5	3.415650255	4	71	3.741657387	4	17	0.816496581	4
6137	75.25	6.898067362	4	81.75	5.909032634	4	87.75	5.251983752	4	73.5	9.327379053	4	15.25	1.258305739	4
6138	77.25	6.946221995	4	82	6.164414003	4	90.75	5.909032634	4	55.75	11.17661249	4	19.75	2.217355783	4
6140	91	16.26857912	4	95.5	16.11417595	4	103.25	15.37042615	4	74.5	2.121320344	2	19	5.163977795	4
6142	92.25	10.04572878	4	98.25	10.34005158	4	107.5	11.26942767	4	59	NA	1	22	2.645751311	3
6145	108	25.05992817	3	113	25.63201124	3	111.5	16.26345597	2	78	NA	1	15.5	4.949747468	2
6148	93	3.605551275	3	98	2	3	105.6666667	4.932882862	3	43	NA	1	15.66666667	4.725815626	3
6149	92.25	9.394147114	4	97.25	9.5	4	99	9.933109617	4	62	7.549834435	3	11	1.825741858	4
6150	87.66666667	5.507570547	3	92.33333333	6.506407099	3	101.6666667	6.429100507	3	71.66666667	1.527525232	3	21.66666667	2.516611478	3
6151	91	0	3	101.3333333	2.516611478	3	103.3333333	5.859465277	3	65.33333333	4.932882862	3	9.666666667	2.516611478	3
6153	121.5	21.92031022	2	127	24.04163056	2	116	NA	1	NA	NA	0	15	NA	1
6154	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6163	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6166	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6169	105	5.656854249	2	110	5.656854249	2	113.5	4.949747468	2	NA	NA	0	6	NA	1
6171	101	NA	1	106	NA	1	108	NA	1	NA	NA	0	5	NA	1
6172	76	35.35533906	2	107	NA	1	114	NA	1	NA	NA	0	12	NA	1
6173	90	3.605551275	3	94.33333333	3.785938897	3	101	2.645751311	3	38	2.645751311	3	7.333333333	0.577350269	3
6174	115.5	2.121320344	2	122.5	0.707106781	2	128	0	2	NA	NA	0	9	1.414213562	2
6177	81.5	5.916079783	4	86.5	5.802298395	4	105.5	19.09188309	2	61.75	2.753785274	4	22.75	4.34932945	4
6180	30.5	2.380476143	4	36.5	2.081665999	4	41.25	2.217355783	4	14.75	1.707825128	4	4.25	1.258305739	4
6184	95	10.89342309	4	101.5	9.88264472	4	103.6666667	5.686240703	3	66.66666667	13.86842938	3	13.5	0.707106781	2
6188	40.5	0.577350269	4	46.5	1.290994449	4	53.5	2.081665999	4	33	1.825741858	4	9	0	4
6189	46	4	3	52.33333333	3.214550254	3	56.66666667	3.785938897	3	30.33333333	3.055050463	3	10.5	0.707106781	2
6191	46	1.825741858	4	50	2.309401077	4	58.5	1.732050808	4	38.25	1.258305739	4	11.5	1.914854216	4
6192	51.5	4.041451884	4	55.66666667	5.033222957	3	63	4	3	33.25	6.946221995	4	10.75	0.5	4
6193	42.25	4.11298756	4	48.75	3.593976442	4	54.5	4.041451884	4	27.75	4.272001873	4	9.5	2.645751311	4
6194	76.75	5.909032634	4	81.25	6.652067348	4	91.5	6.244997998	4	49.75	4.34932945	4	20.5	3.696845502	4
6195	46.75	4.272001873	4	52.25	4.34932945	4	59	4.69041576	4	31.75	3.403429643	4	9.25	0.5	4
6197	45.75	5.377421935	4	50.75	5.852349955	4	59	5.887840578	4	35	10.42433051	4	10	0	4
6198	81	19.79898987	2	86	19.79898987	2	92.5	20.50609665	2	43.5	6.363961031	2	9.5	0.707106781	2
6201	92.5	9.539392014	4	99.25	7.544313532	4	103	5.597618541	4	63.25	7.5	4	15	2.449489743	4
6202	108.25	5.737304826	4	114	5.944184833	4	128	8.185352772	3	NA	NA	0	24	2.645751311	3
6203	106.25	19.27649692	4	111.5	20.04162335	4	119.6666667	23.18045153	3	65	NA	1	11.5	0.707106781	2
6209	100	NA	1	NA	NA	0	107	NA	1	70	NA	1	NA	NA	0
6210	112	5.656854249	2	117.5	7.778174593	2	125	12.72792206	2	NA	NA	0	11.5	0.707106781	2
6216	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6217	112	NA	1	117	NA	1	127	NA	1	NA	NA	0	10	NA	1
6218	128.5	3.535533906	2	134	5.656854249	2	137	NA	1	NA	NA	0	NA	NA	0
6220	109	3.366501646	4	112.3333333	0.577350269	3	117.3333333	0.577350269	3	NA	NA	0	9.333333333	1.527525232	3
6221	120	17.34935157	3	126.5	23.33452378	2	110	NA	1	63	NA	1	6	NA	1
6231	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6235	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6237	95.66666667	2.886751346	3	101	4.358898944	3	109	4	3	65	0	2	17.5	2.121320344	2
6238	112.5	2.121320344	2	118.5	3.535533906	2	124	NA	1	NA	NA	0	20	NA	1
6240	113	9.16515139	3	118	9.848857802	3	125.6666667	10.40833	3	45	NA	1	10	NA	1
6241	111.6666667	10.78579312	3	116.6666667	10.78579312	3	117.5	0.707106781	2	NA	NA	0	12.66666667	2.516611478	3
6242	65	9.16515139	3	68.66666667	9.609023537	3	74.66666667	7.505553499	3	45.33333333	5.131601439	3	12	3	3
6243	34.75	3.095695937	4	40	2.943920289	4	43.75	3.095695937	4	27.5	3.415650255	4	6.25	1.258305739	4
6244	98.75	5.852349955	4	104.5	7	4	108.25	6.60176744	4	83	NA	1	11	2.645751311	3
6252	127	NA	1	137	NA	1	NA	NA	0	NA	NA	0	NA	NA	0
6255	139	2.828427125	2	143	NA	1	NA	NA	0	NA	NA	0	NA	NA	0
6258	110.6666667	8.082903769	3	116.6666667	7.571877794	3	126.6666667	10.5039675	3	NA	NA	0	16.5	2.121320344	2
6268	107	2.943920289	4	97.66666667	37.28717384	3	128.6666667	7.234178138	3	NA	NA	0	20	7.071067812	2
6276	121.6666667	8.736894948	3	130	12.28820573	3	143	NA	1	NA	NA	0	NA	NA	0
6284	123.3333333	9.451631253	3	129.3333333	9.712534856	3	131.5	3.535533906	2	NA	NA	0	NA	NA	0
6413	72.75	9.251126058	4	78.75	6.652067348	4	95	5.416025603	4	58.75	9.776672917	4	27.25	5.909032634	4
6900	110.5	2.121320344	2	119	7.071067812	2	121.5	6.363961031	2	82	NA	1	11	NA	1
6901	109	4	4	112.3333333	1.154700538	3	117	5.656854249	2	74	NA	1	10.5	0.707106781	2
6913	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6917	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
6918	134	NA	1	139	NA	1	NA	NA	0	NA	NA	0	NA	NA	0
6964	96.25	15.17399091	4	101	15.3622915	4	103.3333333	11.8462371	3	22.5	6.363961031	2	13.33333333	1.527525232	3
6965	105	10.98483804	4	111.25	10.75096895	4	113.3333333	14.04753834	3	51	12.72792206	2	14.33333333	1.527525232	3
6973	35	0.816496581	4	39.5	0.577350269	4	46.25	1.707825128	4	17.5	1.290994449	4	6	0.816496581	4
6974	110	10.42433051	4	115.75	11.58663023	4	125.25	10.87428159	4	NA	NA	0	19	0	2
7516	108	16.16580754	4	117.6666667	18.00925688	3	117	19.21804707	4	69.5	16.26345597	2	20	NA	1
7517	104.5	3.696845502	4	110.75	4.272001873	4	113.75	6.020797289	4	80	NA	1	20	5	3
7518	79	12.56980509	4	85.25	12.68529332	4	80.66666667	3.055050463	3	46.33333333	3.511884584	3	12.66666667	0.577350269	3
7519	78.25	2.061552813	4	83	2.581988897	4	89.66666667	2.516611478	3	48.75	5.965176723	4	15	1	3
8222	84.25	8.180260795	4	88.25	8.770214745	4	93.25	6.34428877	4	49.5	4.654746681	4	11.5	1.732050808	4
8227	99	NA	1	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
8230	108	3.559026084	4	113	3.559026084	4	103	37.98683983	3	NA	NA	0	14	2	3
8231	96.25	8.845903006	4	102.3333333	11.15048579	3	108.6666667	15.94783162	3	61.5	16.26345597	2	10.5	0.707106781	2
8234	85.5	6.557438524	4	90.25	6.396613687	4	92.75	6.34428877	4	47.66666667	11.01514109	3	12.66666667	1.527525232	3
8237	88.75	8.808140174	4	79.25	32.02473003	4	98.75	7.5	4	76.33333333	12.42309677	3	15.33333333	3.511884584	3
8240	68.66666667	3.055050463	3	73.66666667	3.055050463	3	83	4.582575695	3	71.66666667	5.033222957	3	20.66666667	2.309401077	3
8241	52.75	2.217355783	4	57.5	2.645751311	4	66.25	2.061552813	4	48	1.414213562	4	15.5	3.511884584	4
8242	121.6666667	10.69267662	3	131	12.72792206	2	132	NA	1	NA	NA	0	17	NA	1
8247	76.5	3	4	80.75	2.62995564	4	94.66666667	3.055050463	3	63	3.559026084	4	18	2.581988897	4
8249	77.5	2.886751346	4	82.25	2.753785274	4	88	2.645751311	3	62.66666667	5.686240703	3	13.33333333	1.527525232	3
8256	34.75	2.753785274	4	40.5	2.645751311	4	45.25	2.753785274	4	27	1.632993162	4	7.75	0.957427108	4
8258	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
8259	55.5	0.707106781	2	59.5	2.121320344	2	65.5	2.121320344	2	41.5	6.363961031	2	12	0	2
8283	76.66666667	9.073771726	3	81	9.643650761	3	82.66666667	8.144527815	3	48.33333333	9.504384953	3	11	1.414213562	2
8306	83.66666667	3.511884584	3	88	3.605551275	3	95	3.605551275	3	52.66666667	13.27905619	3	13.66666667	1.527525232	3
8307	48	4.242640687	4	52.5	4.654746681	4	64.25	5.439056291	4	34.25	5.560275773	4	12.25	1.707825128	4
8326	49.5	2.645751311	4	55.5	3	4	58	2.943920289	4	49.25	3.774917218	4	10.75	1.892969449	4
8334	43	0.816496581	4	51.25	2.061552813	4	54	1.732050808	3	27.5	6.244997998	4	6.25	0.5	4
8335	80.5	2.645751311	4	85	2.943920289	4	92.25	3.201562119	4	73	10.32795559	4	18.75	1.707825128	4
8351	89.25	2.872281323	4	96.5	3.109126351	4	97.5	3.785938897	4	67.25	2.986078811	4	10.5	1.290994449	4
8369	72.25	2.872281323	4	77.5	3.872983346	4	94.66666667	5.507570547	3	47.25	5.5	4	35	1.154700538	4
8376	91	8.888194417	3	95.5	7.325753659	4	104	6.976149845	4	64.33333333	3.055050463	3	14.33333333	1.527525232	3
8386	40.5	1	4	44.5	1	4	49	1.414213562	4	33.5	2.380476143	4	7.75	1.258305739	4
8387	40.66666667	1.154700538	3	44.66666667	0.577350269	3	48.33333333	1.154700538	3	33.33333333	1.527525232	3	8.333333333	0.577350269	3
8422	96	13.83232928	4	101	15.1217283	4	116.25	17.01714821	4	61	NA	1	23.5	0.707106781	2
8423	54	6.976149845	4	59	6.683312552	4	69.75	8.995369179	4	29.75	6.652067348	4	11.5	1.290994449	4
8426	29.75	1.707825128	4	35.75	0.957427108	4	40.25	1.258305739	4	13.75	0.5	4	3.75	0.957427108	4
9057	56.75	2.5	4	61.25	1.707825128	4	67.5	1.732050808	4	36	3.559026084	4	12.5	1.290994449	4
9058	121.25	9.945685832	4	129.3333333	10.69267662	3	123	NA	1	NA	NA	0	12	NA	1
9321	122.3333333	13.86842938	3	128.3333333	14.36430762	3	140	NA	1	NA	NA	0	NA	NA	0
9323	72.5	7.593857167	4	77.5	7.325753659	4	80.75	5.560275773	4	50.25	3.403429643	4	9.25	2.061552813	4
9332	115	NA	1	121	NA	1	129	NA	1	NA	NA	0	NA	NA	0
9336	57.5	1.732050808	4	63.75	1.5	4	66.75	2.872281323	4	48.5	8.346656017	4	5.75	1.258305739	4
9339	104.3333333	7.094598885	3	105.5	2.121320344	2	116.5	9.192388155	2	NA	NA	0	10.33333333	1.527525232	3
9343	79.75	1.5	4	83.75	1.707825128	4	88	2.160246899	4	69.25	7.135591543	4	11.75	1.258305739	4
9352	119.25	6.994045086	4	122.6666667	7.094598885	3	134.3333333	5.507570547	3	NA	NA	0	20	NA	1
9353	111.5	6.363961031	2	112	NA	1	134	NA	1	NA	NA	0	22	NA	1
9356	112.5	12.39623599	4	NA	NA	0	118	14.17744688	3	NA	NA	0	5	NA	1
9363	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
9369	57.25	0.957427108	4	61.25	1.707825128	4	71.25	3.095695937	4	59.25	3.774917218	4	21	4.358898944	3
9371	133	2.828427125	2	140	7.071067812	2	145	NA	1	NA	NA	0	NA	NA	0
9380	84.75	4.573474245	4	90.25	5.315072906	4	98.25	2.753785274	4	64.5	5.744562647	4	20	2.449489743	4
9381	137	NA	1	143	NA	1	NA	NA	0	NA	NA	0	NA	NA	0
9382	103	8.660254038	3	109	8.717797887	3	110.6666667	8.386497084	3	60	NA	1	11	1.732050808	3
9383	92	2.645751311	3	97.66666667	1.154700538	3	103	1	3	74.66666667	10.0166528	3	13.66666667	2.516611478	3
9386	96.25	10.40432602	4	101.25	10.40432602	4	107.75	10.71991915	4	65.5	2.121320344	2	8	1	3
9388	124	NA	1	128	NA	1	137	NA	1	NA	NA	0	NA	NA	0
9390	45.25	4.272001873	4	49.75	4.856267428	4	55	2	3	36.5	2.380476143	4	7.5	1	4
9391	55.25	2.362907813	4	58	2.160246899	4	64.5	2.081665999	4	44.25	4.031128874	4	9.5	1.290994449	4
9392	46	1.825741858	4	51.75	2.362907813	4	59	1.632993162	4	39.75	3.5	4	9.25	0.957427108	4
9394	99.75	4.5	4	104.25	4.425306016	4	110.5	3.696845502	4	77.33333333	3.055050463	3	14.66666667	2.516611478	3
9395	97	9.486832981	4	101.75	10.37223859	4	118.25	12.52663828	4	63.66666667	6.110100927	3	24.75	6.898067362	4
9399	82.75	4.272001873	4	88.25	5.057996968	4	91	7.393691004	4	74	7	3	15.25	0.957427108	4
9402	68.5	2.081665999	4	74.75	1.5	4	78.75	1.5	4	61.5	1.732050808	4	8.25	0.5	4
9404	69	1.632993162	4	73.75	0.957427108	4	78.75	2.5	4	51.25	6.701989754	4	16.75	1.5	4
9405	86	8.640987598	4	90.25	8.655441448	4	95.5	8.266397845	4	57.66666667	6.658328118	3	21	2	3
9407	66.5	3.535533906	2	71.5	2.121320344	2	75	0	2	46.5	7.778174593	2	13.5	0.707106781	2
9408	108.75	13.07351011	4	113.75	13.5	4	124	20.95232684	3	54	NA	1	11.5	6.363961031	2
9409	115	8.831760866	4	120.5	8.6986589	4	119.25	19.25919694	4	NA	NA	0	18	0	2
9412	53.33333333	4.041451884	3	57.66666667	4.163331999	3	64	6	3	40.33333333	3.511884584	3	7.666666667	0.577350269	3
9413	63.33333333	6.027713773	3	68.66666667	5.131601439	3	75	6.92820323	3	32	6.08276253	3	8.5	0.707106781	2
9416	110	NA	1	116	NA	1	129	NA	1	NA	NA	0	15	NA	1
9421	89.5	7.141428429	4	94.25	7.274384281	4	103	6.055300708	4	65.25	7.588368292	4	16.75	4.193248542	4
9427	108.5	6.363961031	2	114	7.071067812	2	119.5	7.778174593	2	NA	NA	0	12	0	2
9433	125	NA	1	131	NA	1	137	NA	1	NA	NA	0	NA	NA	0
9434	96.25	6.701989754	4	101.5	6.191391874	4	102.25	5.560275773	4	72.75	10.21028893	4	6	1.732050808	3
9436	74	6	3	78.66666667	5.507570547	3	90.33333333	8.621678104	3	39	0	2	15	3.605551275	3
9437	78.25	7.804912983	4	83.5	7.549834435	4	90	8.602325267	4	52.5	8.96288644	4	15	2.708012802	4
9442	99.25	23.28626204	4	104.25	23.12826554	4	113.25	27.47574688	4	64	NA	1	14	1.414213562	2
9450	70.5	3.415650255	4	75.5	3.109126351	4	78.5	5.066228051	4	56.25	2.5	4	10	1.632993162	4
9451	103.75	9.708243919	4	110.75	9.53502316	4	113.6666667	11.2398102	3	74	12.72792206	2	15.66666667	3.055050463	3
9452	90.5	11.21011448	4	95.5	11.67618659	4	103	12.1380943	4	68	8.185352772	3	16.75	0.5	4
9453	117.5	9.192388155	2	123.5	9.192388155	2	129.5	7.778174593	2	NA	NA	0	10	NA	1
9454	130	2.828427125	2	135.5	4.949747468	2	138	4.242640687	2	NA	NA	0	NA	NA	0
9455	94	19.37352145	4	99.5	19.48503699	4	102.75	21.31314149	4	64.5	7.778174593	2	9	1	3
9470	72.25	8.220908303	4	76.75	8.261355821	4	90.5	4.949747468	2	65.66666667	10.78579312	3	17	1.414213562	2
9471	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
9476	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0
9481	109	3.915780041	4	113.6666667	2.081665999	3	121	1.414213562	2	NA	NA	0	14	2.828427125	2
8261	38.25	7.804912983	4	43.25	7.182153809	4	49.5	6.806859286	4	28	9.899494937	4	8.75	2.061552813	4
8276	50.5	3	4	54.25	2.217355783	4	60.25	2.986078811	4	45.75	4.924428901	4	11.25	0.957427108	4
8278	33	2.160246899	4	38.25	2.217355783	4	42.5	2.516611478	4	22.25	3.774917218	4	4.5	1.290994449	4
8281	37.25	3.5	4	41	3.915780041	4	47.25	4.34932945	4	15.25	3.862210075	4	4	1.154700538	4
8284	60.5	5.196152423	4	64.75	6.184658438	4	76	6.377042157	4	49.25	10.40432602	4	17	3.741657387	4
8285	42	4	3	46.66666667	3.511884584	3	51.66666667	4.163331999	3	32.33333333	7.234178138	3	6	1	3
8290	31.5	2.081665999	4	39	2.160246899	4	44.25	2.62995564	4	22.25	0.957427108	4	8	0.816496581	4
8297	71	5.228129047	4	75.25	4.787135539	4	79	3.559026084	4	60	3.915780041	4	12.25	1.5	4
8298	83.25	13.30100247	4	88.25	13.1497782	4	93.75	14.63728117	4	62	9.899494937	2	11	4.242640687	2
8303	38	2.708012802	4	43.5	2.645751311	4	48.75	3.774917218	4	26.25	3.403429643	4	6.5	1.290994449	4
8308	31.5	5.259911279	4	37.75	4.34932945	4	41.5	4.654746681	4	17.5	3.109126351	4	4	0.816496581	4
8333	43.75	3.403429643	4	50.33333333	4.725815626	3	54	4	3	43.33333333	5.507570547	3	9.5	0.707106781	2
8345	33.25	1.892969449	4	37.25	1.258305739	4	42.5	1.290994449	4	22.25	3.095695937	4	4.25	1.707825128	4
8363	71.5	13.69914839	4	80.66666667	14.2243922	3	84.66666667	13.42882472	3	49	22.71563338	3	9	1	3
8365	28.5	3.511884584	4	35.25	2.753785274	4	39.5	3	4	20.5	4.795831523	4	6.5	1.290994449	4
8368	30.5	6.658328118	4	35.5	5.259911279	4	39.75	5.678908346	4	15.75	2.986078811	4	3.5	1.290994449	4
8371	31.5	1.290994449	4	38.5	1.290994449	4	41.75	0.5	4	19.5	1.290994449	4	4.5	0.577350269	4
8377	31.25	3.5	4	37.75	3.5	4	42	3.366501646	4	20.75	1.5	4	5.5	1	4
8380	43	4.242640687	4	48.75	3.403429643	4	53.5	3.109126351	4	33.25	4.716990566	4	6.75	1.258305739	4
8384	38	3.265986324	4	42.75	2.5	4	48.75	2.5	4	27	5.887840578	4	5.5	1	4
8391	82.5	3.696845502	4	87.75	3.862210075	4	96	5.228129047	4	34	14.14213562	2	10.33333333	3.055050463	3
8393	53	2.160246899	4	56.75	2.753785274	4	63.66666667	4.041451884	3	40.75	8.30160627	4	8.5	1.290994449	4
8399	58.5	5.802298395	4	64.5	5.322906474	4	69.5	5.322906474	4	44	10.03327796	4	8.5	1.732050808	4
8410	41.5	1.732050808	4	45.75	1.707825128	4	53	2.943920289	4	28.75	2.986078811	4	5.75	0.5	4
8419	43.5	3.109126351	4	49	4.242640687	4	58.75	4.11298756	4	37.5	1.732050808	4	9.25	1.5	4
8421	67.33333333	6.806859286	3	68.5	2.121320344	2	76	4.242640687	2	43.5	7.778174593	2	14	NA	1
8424	69.75	3.593976442	4	74.75	3.774917218	4	80	3.366501646	4	40.75	5.560275773	4	9	1	3
8429	56.75	12.97112177	4	61	12.19289411	4	65	11.16542282	4	49	2.449489743	4	11.75	0.5	4
8430	71.25	4.34932945	4	75	3.366501646	4	78	1.154700538	4	52.5	9.88264472	4	11	1.414213562	4
100000	36.5	2.886751346	4	43.25	2.986078811	4	48.25	2.753785274	4	26.25	2.362907813	4	4.5	0.577350269	4
6909	28	2.449489743	4	34.5	2.380476143	4	38	2.449489743	4	16	1.632993162	4	4	0	4
7058	54.25	3.304037934	4	58.25	3.304037934	4	66	3.464101615	4	34.5	3.109126351	4	9.25	0.5	4
7063	39.33333333	3.785938897	3	43.66666667	4.041451884	3	51	3.464101615	3	32.33333333	5.686240703	3	10.66666667	1.154700538	3
7067	31	1.414213562	4	37.25	1.258305739	4	42.25	1.707825128	4	20.25	1.707825128	4	7	0	3
7111	29.75	3.304037934	4	36.25	2.986078811	4	39	3.16227766	4	18	1.414213562	4	4	0.816496581	4
7167	25.25	0.957427108	4	30.5	1.290994449	4	34.25	1.707825128	4	13.25	4.34932945	4	4.25	1.707825128	4
7186	37.5	3.415650255	4	42	3.16227766	4	49.75	2.872281323	4	30.75	5.123475383	4	9.5	0.577350269	4
7213	28.25	1.892969449	4	38.75	2.061552813	4	40	1.632993162	4	11.25	0.5	4	4	0	4
7273	31	2.160246899	4	37	1.632993162	4	43.66666667	2.081665999	3	18	0	4	5.75	0.5	4
7288	57.75	10.1447852	4	62	10.42433051	4	70.25	8.995369179	4	43.25	5.5	4	13	1.154700538	4
7308	43.5	4.203173404	4	47.5	4.203173404	4	54.5	3.696845502	4	37.25	0.957427108	4	11	0.816496581	4
7322	42.75	4.425306016	4	47.25	3.5	4	51.75	4.573474245	4	40	7.659416862	4	13.25	1.892969449	4
